PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Phrase),Difference(Sentence),Idx,Keywords
30055,1395,virtually unwatchable,0,virtually unwatchable,2,2,2.0,30055,['virtually']
114981,6123,embarrassment .,0,embarrassment .,2,2,2.0,114981,['embarrassment']
24515,1115,Truly terrible,0,Truly terrible,2,2,2.0,24515,"['terrible', 'truly']"
109671,5811,Less than fresh,0,Less than fresh,3,3,2.0,109671,"['fresh', 'less', 'less than', 'than']"
104896,5539,which somehow snagged an Oscar nomination,1,which somehow snagged an Oscar nomination,4,3,2.0,104896,"['an', 'an oscar', 'nomination', 'oscar', 'oscar nomination', 'somehow', 'which']"
109540,5803,unbearably lame .,0,unbearably lame .,2,2,2.0,109540,['lame']
66975,3400,I loved this film .,4,I loved this film .,2,2,2.0,66975,"['film', 'loved', 'this', 'this film']"
109541,5803,lame .,0,lame .,2,2,2.0,109541,['lame']
109539,5803,... unbearably lame .,0,... unbearably lame .,2,2,2.0,109539,['lame']
109672,5811,than fresh,2,than fresh,3,1,2.0,109672,"['fresh', 'than']"
104895,5539,Norwegian offering,2,Norwegian offering,2,0,2.0,104895,['offering']
104894,5539,Norwegian offering which somehow snagged an Oscar nomination,1,Norwegian offering which somehow snagged an Oscar nomination,4,3,2.0,104894,"['an', 'an oscar', 'nomination', 'offering', 'oscar', 'oscar nomination', 'somehow', 'which']"
104893,5539,Tedious Norwegian offering which somehow snagged an Oscar nomination,1,Tedious Norwegian offering which somehow snagged an Oscar nomination,4,3,2.0,104893,"['an', 'an oscar', 'nomination', 'offering', 'oscar', 'oscar nomination', 'somehow', 'tedious', 'which']"
150020,8170,utter tripe,0,utter tripe,2,2,2.0,150020,"['tripe', 'utter']"
150019,8170,a snore,1,a snore,2,1,2.0,150019,[]
18421,807,Execrable .,0,Execrable .,2,2,2.0,18421,[]
150015,8170,is both a snore and utter tripe,0,is both a snore and utter tripe,4,4,2.0,150015,"['and', 'both', 'is', 'is both', 'tripe', 'utter']"
139699,7579,Refreshing .,4,Refreshing .,2,2,2.0,139699,['refreshing']
124454,6686,Horrible .,0,Horrible .,2,2,2.0,124454,['horrible']
114980,6123,an embarrassment .,0,an embarrassment .,2,2,2.0,114980,"['an', 'embarrassment']"
7973,325,See it .,4,See it .,2,2,2.0,7973,"['it', 'see', 'see it']"
137444,7436,lame comedy .,0,lame comedy .,2,2,2.0,137444,"['comedy', 'lame']"
150014,8170,is both a snore and utter tripe .,0,is both a snore and utter tripe .,4,4,2.0,150014,"['and', 'both', 'is', 'is both', 'tripe', 'utter']"
137443,7436,A lame comedy .,0,A lame comedy .,2,2,2.0,137443,"['comedy', 'lame']"
104892,5539,Tedious Norwegian offering which somehow snagged an Oscar nomination .,1,Tedious Norwegian offering which somehow snagged an Oscar nomination .,4,3,2.0,104892,"['an', 'an oscar', 'nomination', 'offering', 'oscar', 'oscar nomination', 'somehow', 'tedious', 'which']"
30052,1395,This thing is virtually unwatchable .,0,This thing is virtually unwatchable .,2,2,2.0,30052,"['is', 'thing', 'thing is', 'this', 'virtually']"
30053,1395,is virtually unwatchable .,0,is virtually unwatchable .,2,2,2.0,30053,"['is', 'virtually']"
150013,8170,Snipes is both a snore and utter tripe .,1,Snipes is both a snore and utter tripe .,3,2,2.0,150013,"['and', 'both', 'is', 'is both', 'snipes', 'tripe', 'utter']"
107490,5679,Fantastic !,4,Fantastic !,2,2,2.0,107490,['fantastic']
155176,8495,Disgusting .,0,Disgusting .,2,2,2.0,155176,['disgusting']
30054,1395,is virtually unwatchable,0,is virtually unwatchable,2,2,2.0,30054,"['is', 'virtually']"
114979,6123,What an embarrassment .,0,What an embarrassment .,2,2,2.0,114979,"['an', 'embarrassment', 'what']"
30056,1395,unwatchable,0,unwatchable,2,2,2.0,30056,[]
79350,4087,can not recommend it .,0,ca n't recommend it .,2,2,2.0,79350,"['can', 'can not', 'it', 'not', 'recommend', 'recommend it']"
79349,4087,I can not recommend it .,0,I ca n't recommend it .,2,2,2.0,79349,"['can', 'can not', 'it', 'not', 'recommend', 'recommend it']"
104897,5539,somehow snagged an Oscar nomination,1,somehow snagged an Oscar nomination,4,3,2.0,104897,"['an', 'an oscar', 'nomination', 'oscar', 'oscar nomination', 'somehow']"
66977,3400,loved this film,4,loved this film,2,2,2.0,66977,"['film', 'loved', 'this', 'this film']"
154773,8466,it ` perfection,4,it ` perfection,2,2,2.0,154773,['it']
80729,4158,can not recommend it enough .,4,ca n't recommend it enough .,2,2,2.0,80729,"['can', 'can not', 'enough', 'it', 'not', 'recommend', 'recommend it']"
80732,4158,it enough,2,it enough,2,0,2.0,80732,"['enough', 'it']"
18422,807,Execrable,0,Execrable,2,2,2.0,18422,[]
59963,3025,This is one baaaaaaaaad movie .,0,This is one baaaaaaaaad movie .,2,2,2.0,59963,"['is', 'is one', 'movie', 'one', 'this', 'this is']"
59964,3025,is one baaaaaaaaad movie .,0,is one baaaaaaaaad movie .,2,2,2.0,59964,"['is', 'is one', 'movie', 'one']"
59965,3025,is one baaaaaaaaad movie,0,is one baaaaaaaaad movie,2,2,2.0,59965,"['is', 'is one', 'movie', 'one']"
59966,3025,one baaaaaaaaad movie,0,one baaaaaaaaad movie,2,2,2.0,59966,"['movie', 'one']"
59967,3025,baaaaaaaaad movie,0,baaaaaaaaad movie,2,2,2.0,59967,['movie']
80730,4158,can not recommend it enough,4,ca n't recommend it enough,2,2,2.0,80730,"['can', 'can not', 'enough', 'it', 'not', 'recommend', 'recommend it']"
117687,6281,Thumbs down,0,Thumbs down,2,2,2.0,117687,"['down', 'thumbs']"
144268,7831,A gripping drama .,4,A gripping drama .,2,2,2.0,144268,"['drama', 'gripping']"
92058,4791,Idiotic and,0,Idiotic and,2,2,2.0,92058,"['and', 'idiotic']"
92057,4791,Idiotic and ugly,0,Idiotic and ugly,2,2,2.0,92057,"['and', 'and ugly', 'idiotic', 'ugly']"
92056,4791,Idiotic and ugly .,0,Idiotic and ugly .,2,2,2.0,92056,"['and', 'and ugly', 'idiotic', 'ugly']"
117686,6281,Thumbs down .,0,Thumbs down .,2,2,2.0,117686,"['down', 'thumbs']"
24514,1115,Truly terrible .,0,Truly terrible .,2,2,2.0,24514,"['terrible', 'truly']"
144269,7831,gripping drama .,4,gripping drama .,2,2,2.0,144269,"['drama', 'gripping']"
154772,8466,Consider it ` perfection,4,Consider it ` perfection,2,2,2.0,154772,"['consider', 'it']"
104898,5539,snagged an Oscar nomination,3,snagged an Oscar nomination,4,1,2.0,104898,"['an', 'an oscar', 'nomination', 'oscar', 'oscar nomination']"
80731,4158,recommend it enough,3,recommend it enough,2,1,2.0,80731,"['enough', 'it', 'recommend', 'recommend it']"
80728,4158,simply can not recommend it enough .,4,simply ca n't recommend it enough .,0,4,2.0,80728,"['can', 'can not', 'enough', 'it', 'not', 'recommend', 'recommend it', 'simply']"
59968,3025,baaaaaaaaad,0,baaaaaaaaad,2,2,2.0,59968,[]
154771,8466,Consider it ` perfection .,4,Consider it ` perfection .,2,2,2.0,154771,"['consider', 'it']"
154770,8466,Consider it ` perfection . ',4,Consider it ` perfection . ',2,2,2.0,154770,"['consider', 'it']"
86068,4455,An exhilarating experience .,4,An exhilarating experience .,2,2,2.0,86068,"['an', 'an exhilarating', 'exhilarating', 'experience']"
82934,4282,An infuriating film .,0,An infuriating film .,2,2,2.0,82934,"['an', 'film']"
82935,4282,infuriating film .,0,infuriating film .,2,2,2.0,82935,['film']
126103,6774,Stale and,0,Stale and,2,2,2.0,126103,"['and', 'stale']"
80727,4158,I simply can not recommend it enough .,3,I simply ca n't recommend it enough .,0,3,2.0,80727,"['can', 'can not', 'enough', 'it', 'not', 'recommend', 'recommend it', 'simply']"
113297,6020,A real snooze .,0,A real snooze .,2,2,2.0,113297,['real']
25762,1178,Amazing !,4,Amazing !,2,2,2.0,25762,['amazing']
113298,6020,real snooze .,0,real snooze .,2,2,2.0,113298,['real']
154774,8466,` perfection,4,` perfection,2,2,2.0,154774,[]
104540,5518,Crummy .,0,Crummy .,2,2,2.0,104540,[]
49009,2392,Terrible .,0,Terrible .,2,2,2.0,49009,['terrible']
104899,5539,snagged,2,snagged,2,0,2.0,104899,[]
109670,5811,Less than fresh .,1,Less than fresh .,3,2,2.0,109670,"['fresh', 'less', 'less than', 'than']"
80679,4155,A well-crafted letdown .,1,A well-crafted letdown .,3,2,2.0,80679,"['crafted', 'well', 'well crafted']"
80680,4155,well-crafted letdown .,1,well-crafted letdown .,3,2,2.0,80680,"['crafted', 'well', 'well crafted']"
110419,5849,"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way .",4,"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way .",1,3,1.9285714285714286,110419,"['actors', 'and', 'and the', 'are', 'are simply', 'flaws', 'for', 'get', 'good', 'good and', 'in', 'in the', 'intriguing', 'simply', 'simply too', 'story', 'technical', 'the', 'the actors', 'the story', 'the way', 'to', 'to get', 'too', 'way']"
110420,5849,"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way",2,"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way",1,1,1.9285714285714286,110420,"['actors', 'and', 'and the', 'are', 'are simply', 'flaws', 'for', 'get', 'good', 'good and', 'in', 'in the', 'intriguing', 'simply', 'simply too', 'story', 'technical', 'the', 'the actors', 'the story', 'the way', 'to', 'to get', 'too', 'way']"
110421,5849,"The actors are simply too good , and the story too intriguing ,",4,"The actors are simply too good , and the story too intriguing ,",1,3,1.9285714285714286,110421,"['actors', 'and', 'and the', 'are', 'are simply', 'good', 'good and', 'intriguing', 'simply', 'simply too', 'story', 'the', 'the actors', 'the story', 'too']"
110431,5849,technical flaws to get in the way,1,technical flaws to get in the way,2,1,1.9285714285714286,110431,"['flaws', 'get', 'in', 'in the', 'technical', 'the', 'the way', 'to', 'to get', 'way']"
110422,5849,"The actors are simply too good , and the story too intriguing",4,"The actors are simply too good , and the story too intriguing",1,3,1.9285714285714286,110422,"['actors', 'and', 'and the', 'are', 'are simply', 'good', 'good and', 'intriguing', 'simply', 'simply too', 'story', 'the', 'the actors', 'the story', 'too']"
110423,5849,"The actors are simply too good , and",4,"The actors are simply too good , and",1,3,1.9285714285714286,110423,"['actors', 'and', 'are', 'are simply', 'good', 'good and', 'simply', 'simply too', 'the', 'the actors', 'too']"
110432,5849,technical flaws,1,technical flaws,2,1,1.9285714285714286,110432,"['flaws', 'technical']"
110428,5849,the story too intriguing,2,the story too intriguing,1,1,1.9285714285714286,110428,"['intriguing', 'story', 'the', 'the story', 'too']"
110424,5849,"The actors are simply too good ,",3,"The actors are simply too good ,",1,2,1.9285714285714286,110424,"['actors', 'are', 'are simply', 'good', 'simply', 'simply too', 'the', 'the actors', 'too']"
110426,5849,are simply too good,3,are simply too good,1,2,1.9285714285714286,110426,"['are', 'are simply', 'good', 'simply', 'simply too', 'too']"
110425,5849,The actors are simply too good,4,The actors are simply too good,1,3,1.9285714285714286,110425,"['actors', 'are', 'are simply', 'good', 'simply', 'simply too', 'the', 'the actors', 'too']"
110430,5849,for technical flaws to get in the way,1,for technical flaws to get in the way,2,1,1.9285714285714286,110430,"['flaws', 'for', 'get', 'in', 'in the', 'technical', 'the', 'the way', 'to', 'to get', 'way']"
110427,5849,too good,3,too good,1,2,1.9285714285714286,110427,"['good', 'too']"
110429,5849,too intriguing,2,too intriguing,3,1,1.9285714285714286,110429,"['intriguing', 'too']"
75208,3858,could have used my two hours better watching Being John Malkovich again,1,could have used my two hours better watching Being John Malkovich again,4,3,1.9,75208,"['again', 'being', 'better', 'could', 'could have', 'have', 'have used', 'hours', 'john', 'john malkovich', 'malkovich', 'my', 'two', 'two hours', 'used', 'watching']"
75207,3858,could have used my two hours better watching Being John Malkovich again .,0,could have used my two hours better watching Being John Malkovich again .,4,4,1.9,75207,"['again', 'being', 'better', 'could', 'could have', 'have', 'have used', 'hours', 'john', 'john malkovich', 'malkovich', 'my', 'two', 'two hours', 'used', 'watching']"
75215,3858,Being John Malkovich again,2,Being John Malkovich again,2,0,1.9,75215,"['again', 'being', 'john', 'john malkovich', 'malkovich']"
75214,3858,two hours better,2,two hours better,2,0,1.9,75214,"['better', 'hours', 'two', 'two hours']"
75212,3858,my two hours better watching,1,my two hours better watching,0,1,1.9,75212,"['better', 'hours', 'my', 'two', 'two hours', 'watching']"
75211,3858,used my two hours better watching,1,used my two hours better watching,0,1,1.9,75211,"['better', 'hours', 'my', 'two', 'two hours', 'used', 'watching']"
75210,3858,used my two hours better watching Being John Malkovich again,1,used my two hours better watching Being John Malkovich again,4,3,1.9,75210,"['again', 'being', 'better', 'hours', 'john', 'john malkovich', 'malkovich', 'my', 'two', 'two hours', 'used', 'watching']"
75209,3858,have used my two hours better watching Being John Malkovich again,1,have used my two hours better watching Being John Malkovich again,4,3,1.9,75209,"['again', 'being', 'better', 'have', 'have used', 'hours', 'john', 'john malkovich', 'malkovich', 'my', 'two', 'two hours', 'used', 'watching']"
75206,3858,I could have used my two hours better watching Being John Malkovich again .,1,I could have used my two hours better watching Being John Malkovich again .,4,3,1.9,75206,"['again', 'being', 'better', 'could', 'could have', 'have', 'have used', 'hours', 'john', 'john malkovich', 'malkovich', 'my', 'two', 'two hours', 'used', 'watching']"
75213,3858,two hours better watching,3,two hours better watching,2,1,1.9,75213,"['better', 'hours', 'two', 'two hours', 'watching']"
71845,3666,", it 's nowhere near as good as the original .",1,", it 's nowhere near as good as the original .",3,2,1.8888888888888888,71845,"['as', 'as good', 'as the', 'good', 'it', 'near', 'nowhere', 'original', 'the', 'the original']"
71848,3666,'s nowhere near as good as the original,1,'s nowhere near as good as the original,3,2,1.8888888888888888,71848,"['as', 'as good', 'as the', 'good', 'near', 'nowhere', 'original', 'the', 'the original']"
71847,3666,'s nowhere near as good as the original .,1,'s nowhere near as good as the original .,3,2,1.8888888888888888,71847,"['as', 'as good', 'as the', 'good', 'near', 'nowhere', 'original', 'the', 'the original']"
71846,3666,it 's nowhere near as good as the original .,1,it 's nowhere near as good as the original .,3,2,1.8888888888888888,71846,"['as', 'as good', 'as the', 'good', 'it', 'near', 'nowhere', 'original', 'the', 'the original']"
71843,3666,all that bad of a movie,2,all that bad of a movie,0,2,1.8888888888888888,71843,"['all', 'all that', 'bad', 'movie', 'of', 'of movie', 'that']"
71844,3666,bad of a movie,1,bad of a movie,0,1,1.8888888888888888,71844,"['bad', 'movie', 'of', 'of movie']"
71841,3666,While not all that bad of a movie,2,While not all that bad of a movie,0,2,1.8888888888888888,71841,"['all', 'all that', 'bad', 'movie', 'not', 'not all', 'of', 'of movie', 'that', 'while']"
71840,3666,"While not all that bad of a movie , it 's nowhere near as good as the original .",1,"While not all that bad of a movie , it 's nowhere near as good as the original .",0,1,1.8888888888888888,71840,"['all', 'all that', 'as', 'as good', 'as the', 'bad', 'good', 'it', 'movie', 'movie it', 'near', 'not', 'not all', 'nowhere', 'of', 'of movie', 'original', 'that', 'the', 'the original', 'while']"
71842,3666,not all that bad of a movie,3,not all that bad of a movie,0,3,1.8888888888888888,71842,"['all', 'all that', 'bad', 'movie', 'not', 'not all', 'of', 'of movie', 'that']"
152334,8312,is a big time stinker,0,is a big time stinker,2,2,1.875,152334,"['big', 'big time', 'is', 'stinker', 'time']"
152337,8312,time stinker,0,time stinker,2,2,1.875,152337,"['stinker', 'time']"
152336,8312,big time stinker,0,big time stinker,2,2,1.875,152336,"['big', 'big time', 'stinker', 'time']"
152335,8312,a big time stinker,1,a big time stinker,2,1,1.875,152335,"['big', 'big time', 'stinker', 'time']"
152333,8312,is a big time stinker .,0,is a big time stinker .,2,2,1.875,152333,"['big', 'big time', 'is', 'stinker', 'time']"
152332,8312,'' is a big time stinker .,0,'' is a big time stinker .,2,2,1.875,152332,"['big', 'big time', 'is', 'stinker', 'time']"
152330,8312,`` The Adventures of Pluto Nash '' is a big time stinker .,0,`` The Adventures of Pluto Nash '' is a big time stinker .,2,2,1.875,152330,"['adventures', 'adventures of', 'big', 'big time', 'is', 'of', 'stinker', 'the', 'the adventures', 'time']"
152331,8312,The Adventures of Pluto Nash '' is a big time stinker .,0,The Adventures of Pluto Nash '' is a big time stinker .,2,2,1.875,152331,"['adventures', 'adventures of', 'big', 'big time', 'is', 'of', 'stinker', 'the', 'the adventures', 'time']"
127858,6877,forced to reflect that its visual imagination is breathtaking,4,forced to reflect that its visual imagination is breathtaking,1,3,1.8461538461538463,127858,"['breathtaking', 'forced', 'forced to', 'imagination', 'is', 'its', 'its visual', 'that', 'that its', 'to', 'visual']"
127852,6877,"Even when it drags , we are forced to reflect that its visual imagination is breathtaking",3,"Even when it drags , we are forced to reflect that its visual imagination is breathtaking",1,2,1.8461538461538463,127852,"['are', 'breathtaking', 'drags', 'even', 'even when', 'forced', 'forced to', 'imagination', 'is', 'it', 'its', 'its visual', 'that', 'that its', 'to', 'visual', 'we', 'we are', 'when', 'when it']"
127863,6877,its visual imagination,3,its visual imagination,2,1,1.8461538461538463,127863,"['imagination', 'its', 'its visual', 'visual']"
127862,6877,its visual imagination is breathtaking,4,its visual imagination is breathtaking,4,0,1.8461538461538463,127862,"['breathtaking', 'imagination', 'is', 'its', 'its visual', 'visual']"
127864,6877,is breathtaking,4,is breathtaking,2,2,1.8461538461538463,127864,"['breathtaking', 'is']"
127860,6877,reflect that its visual imagination is breathtaking,3,reflect that its visual imagination is breathtaking,1,2,1.8461538461538463,127860,"['breathtaking', 'imagination', 'is', 'its', 'its visual', 'that', 'that its', 'visual']"
127859,6877,to reflect that its visual imagination is breathtaking,3,to reflect that its visual imagination is breathtaking,1,2,1.8461538461538463,127859,"['breathtaking', 'imagination', 'is', 'its', 'its visual', 'that', 'that its', 'to', 'visual']"
127856,6877,we are forced to reflect that its visual imagination is breathtaking,3,we are forced to reflect that its visual imagination is breathtaking,1,2,1.8461538461538463,127856,"['are', 'breathtaking', 'forced', 'forced to', 'imagination', 'is', 'its', 'its visual', 'that', 'that its', 'to', 'visual', 'we', 'we are']"
127855,6877,", we are forced to reflect that its visual imagination is breathtaking",4,", we are forced to reflect that its visual imagination is breathtaking",1,3,1.8461538461538463,127855,"['are', 'breathtaking', 'forced', 'forced to', 'imagination', 'is', 'its', 'its visual', 'that', 'that its', 'to', 'visual', 'we', 'we are']"
127853,6877,Even when it drags,2,Even when it drags,2,0,1.8461538461538463,127853,"['drags', 'even', 'even when', 'it', 'when', 'when it']"
127861,6877,that its visual imagination is breathtaking,4,that its visual imagination is breathtaking,1,3,1.8461538461538463,127861,"['breathtaking', 'imagination', 'is', 'its', 'its visual', 'that', 'that its', 'visual']"
127854,6877,when it drags,1,when it drags,2,1,1.8461538461538463,127854,"['drags', 'it', 'when', 'when it']"
127857,6877,are forced to reflect that its visual imagination is breathtaking,4,are forced to reflect that its visual imagination is breathtaking,1,3,1.8461538461538463,127857,"['are', 'breathtaking', 'forced', 'forced to', 'imagination', 'is', 'its', 'its visual', 'that', 'that its', 'to', 'visual']"
47860,2333,", it 's not half-bad .",3,", it 's not half-bad .",1,2,1.8333333333333333,47860,"['bad', 'half', 'it', 'it not', 'not']"
47862,2333,'s not half-bad .,3,'s not half-bad .,1,2,1.8333333333333333,47862,"['bad', 'half', 'not']"
47858,2333,"Even at its worst , it 's not half-bad .",3,"Even at its worst , it 's not half-bad .",0,3,1.8333333333333333,47858,"['at', 'at its', 'bad', 'even', 'half', 'it', 'it not', 'its', 'not', 'worst']"
47859,2333,Even at its worst,2,Even at its worst,0,2,1.8333333333333333,47859,"['at', 'at its', 'even', 'its', 'worst']"
47861,2333,it 's not half-bad .,2,it 's not half-bad .,1,1,1.8333333333333333,47861,"['bad', 'half', 'it', 'it not', 'not']"
47863,2333,'s not half-bad,2,'s not half-bad,1,1,1.8333333333333333,47863,"['bad', 'half', 'not']"
105313,5560,'s pretty stupid,0,'s pretty stupid,2,2,1.8333333333333333,105313,"['pretty', 'stupid']"
105310,5560,", it 's pretty stupid .",0,", it 's pretty stupid .",2,2,1.8333333333333333,105310,"['it', 'it pretty', 'pretty', 'stupid']"
105314,5560,pretty stupid,0,pretty stupid,2,2,1.8333333333333333,105314,"['pretty', 'stupid']"
105312,5560,'s pretty stupid .,0,'s pretty stupid .,2,2,1.8333333333333333,105312,"['pretty', 'stupid']"
105311,5560,it 's pretty stupid .,0,it 's pretty stupid .,2,2,1.8333333333333333,105311,"['it', 'it pretty', 'pretty', 'stupid']"
105309,5560,"Frankly , it 's pretty stupid .",1,"Frankly , it 's pretty stupid .",2,1,1.8333333333333333,105309,"['it', 'it pretty', 'pretty', 'stupid']"
4543,172,a sharp movie,3,a sharp movie,2,1,1.8181818181818181,4543,"['movie', 'sharp']"
4547,172,otherwise dull subjects,1,otherwise dull subjects,0,1,1.8181818181818181,4547,"['dull', 'otherwise', 'subjects']"
4546,172,about otherwise dull subjects,1,about otherwise dull subjects,2,1,1.8181818181818181,4546,"['about', 'dull', 'otherwise', 'subjects']"
4545,172,sharp,3,sharp,2,1,1.8181818181818181,4545,['sharp']
4544,172,sharp movie,3,sharp movie,2,1,1.8181818181818181,4544,"['movie', 'sharp']"
4549,172,dull,0,dull,2,2,1.8181818181818181,4549,['dull']
4542,172,a sharp movie about otherwise dull subjects,3,a sharp movie about otherwise dull subjects,0,3,1.8181818181818181,4542,"['about', 'dull', 'movie', 'movie about', 'otherwise', 'sharp', 'subjects']"
4541,172,'s a sharp movie about otherwise dull subjects,3,'s a sharp movie about otherwise dull subjects,0,3,1.8181818181818181,4541,"['about', 'dull', 'movie', 'movie about', 'otherwise', 'sharp', 'subjects']"
4540,172,'s a sharp movie about otherwise dull subjects .,3,'s a sharp movie about otherwise dull subjects .,0,3,1.8181818181818181,4540,"['about', 'dull', 'movie', 'movie about', 'otherwise', 'sharp', 'subjects']"
4539,172,It 's a sharp movie about otherwise dull subjects .,3,It 's a sharp movie about otherwise dull subjects .,0,3,1.8181818181818181,4539,"['about', 'dull', 'it', 'movie', 'movie about', 'otherwise', 'sharp', 'subjects']"
4548,172,otherwise dull,1,otherwise dull,2,1,1.8181818181818181,4548,"['dull', 'otherwise']"
12565,539,sucks .,0,sucks .,2,2,1.8,12565,[]
12566,539,sucks,0,sucks,2,2,1.8,12566,[]
12564,539,sucks . ',0,sucks . ',2,2,1.8,12564,[]
54391,2703,is just such an achievement .,3,is just such an achievement .,2,1,1.8,54391,"['achievement', 'an', 'is', 'is just', 'just', 'such', 'such an']"
54390,2703,Half Past Dead is just such an achievement .,4,Half Past Dead is just such an achievement .,1,3,1.8,54390,"['achievement', 'an', 'dead', 'half', 'is', 'is just', 'just', 'past', 'such', 'such an']"
12563,539,This movie sucks . ',1,This movie sucks . ',2,1,1.8,12563,"['movie', 'this', 'this movie']"
62890,3182,Thoroughly engrossing and ultimately tragic .,1,Thoroughly engrossing and ultimately tragic .,4,3,1.8,62890,"['and', 'and ultimately', 'engrossing', 'thoroughly', 'tragic', 'ultimately']"
62891,3182,Thoroughly engrossing and ultimately tragic,2,Thoroughly engrossing and ultimately tragic,4,2,1.8,62891,"['and', 'and ultimately', 'engrossing', 'thoroughly', 'tragic', 'ultimately']"
12562,539,` This movie sucks . ',0,` This movie sucks . ',2,2,1.8,12562,"['movie', 'this', 'this movie']"
54393,2703,such an achievement,4,such an achievement,2,2,1.8,54393,"['achievement', 'an', 'such', 'such an']"
54392,2703,is just such an achievement,3,is just such an achievement,2,1,1.8,54392,"['achievement', 'an', 'is', 'is just', 'just', 'such', 'such an']"
